date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:50:41	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Apr%202023%2015:20:40%20GMT	http://img1.wsimg.com/traffic-assets/js/tccl-tti.min.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/traffic-assets/js/tccl-tti.min.js	(from https://babanaharbiotech.com/)
20:50:42	39044/39044	---M-Z	200	added ('OK')	application/javascript	etag:%226e6747e7e1ec370270a4024cf3cfaf00%22	http://img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/bf78a6898c668ded/script.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/bf78a6898c668ded/script.js	(from https://babanaharbiotech.com/)
20:50:42	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Apr%202023%2015:20:41%20GMT	http://img1.wsimg.com/traffic-assets/js/tccl.min.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/traffic-assets/js/tccl.min.js	(from https://babanaharbiotech.com/)
20:50:44	60978/60978	---M-Z	200	added ('OK')	application/javascript	etag:%223c9f19ae49b9c48565b787a67aaca4f2%22	http://img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/6f507177fd46d3f3/script.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/6f507177fd46d3f3/script.js	(from https://babanaharbiotech.com/services)
20:50:46	60978/60978	---M-Z	200	added ('OK')	application/javascript	etag:%22a72a6452ce526bbe877f8d0dab2c444e%22	http://img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/807d3c1685187e56/script.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/807d3c1685187e56/script.js	(from https://babanaharbiotech.com/contact-us)
20:50:46	37544/37544	---M-Z	200	added ('OK')	application/javascript	etag:%22426412d3159f8cf4e7ca203bd57ac8d4%22	http://img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/96c53a4ace874414/script.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/96c53a4ace874414/script.js	(from https://babanaharbiotech.com/contact-us)
20:50:46	79599/79599	---M-Z	200	added ('OK')	application/javascript	etag:%2221c30834d2be28eb70026bf531985796%22	http://img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/f57af3e4a323097c/script.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/f57af3e4a323097c/script.js	(from https://babanaharbiotech.com/services)
20:50:47	2564/2564	---MCZ	200	added ('OK')	application/atom+xml	etag:dba4315321e1b752f71f6e2f096d51bd	https://babanaharbiotech.com/products/f.atom	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/products/f.atom	(from https://babanaharbiotech.com/products)
20:50:47	1685/1685	---MCZ	200	added ('OK')	application/json	etag:dba4315321e1b752f71f6e2f096d51bd	https://babanaharbiotech.com/products/f.json	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/products/f.json	(from https://babanaharbiotech.com/products)
20:50:48	315147/315147	---M-Z	200	added ('OK')	application/javascript	etag:%2299bc9aa0341f3d2e67dcc29cf926eada%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.30.4.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.30.4.js	(from https://babanaharbiotech.com/)
20:50:48	2885/2885	---MCZ	200	added ('OK')	application/rss+xml	etag:dba4315321e1b752f71f6e2f096d51bd	https://babanaharbiotech.com/products/f.rss	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/products/f.rss	(from https://babanaharbiotech.com/products)
20:50:48	60978/60978	---M-Z	200	added ('OK')	application/javascript	etag:%2295312141a15448f0a5d6bffe69985d2b%22	http://img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/d3bc99ca679cbd31/script.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/d3bc99ca679cbd31/script.js	(from https://babanaharbiotech.com/products)
20:50:49	71545/71545	---MCZ	200	added ('OK')	text/html	etag:44f86a741d9572546d6150357c94b94e	https://babanaharbiotech.com/m/login	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/m/login.html	(from https://babanaharbiotech.com/m/login?r=%2Fm%2Faccount)
20:50:50	60978/60978	---M-Z	200	added ('OK')	application/javascript	etag:%226ea67c997944b077e0a184edabb87998%22	http://img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/4ca693ea5546b651/script.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/4ca693ea5546b651/script.js	(from https://babanaharbiotech.com/m/login?r=%2Fm%2Faccount)
20:50:51	48123/48123	---M-Z	200	added ('OK')	application/javascript	etag:%225b9434875fef94e662d056990c5865b3%22	http://img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/4c481da8aef9c18/script.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/4c481da8aef9c18/script.js	(from https://babanaharbiotech.com/m/login?r=%2Fm%2Faccount)
20:50:52	67980/67980	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Apr%202023%2015:20:51%20GMT	https://babanaharbiotech.com/c	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/c	(from https://connect.facebook.net/en_US/fbevents.js)
20:50:53	60978/60978	---M-Z	200	added ('OK')	application/javascript	etag:%22f2a5374393c9bd2d7eb1e9068bf776d3%22	http://img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/928d97111fa371a4/script.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/928d97111fa371a4/script.js	(from https://babanaharbiotech.com/m/create-account)
20:50:53	67980/67980	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Apr%202023%2015:20:52%20GMT	https://babanaharbiotech.com/b	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/b	(from https://connect.facebook.net/en_US/fbevents.js)
20:50:54	67980/67980	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Apr%202023%2015:20:53%20GMT	https://babanaharbiotech.com/POST	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/POST	(from https://connect.facebook.net/en_US/fbevents.js)
20:50:54	70038/70038	---M-Z	200	added ('OK')	application/javascript	etag:%229ec62982ec6a12cf20dfba42762d426e%22	http://img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/74a4e10e24b53ddc/script.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/74a4e10e24b53ddc/script.js	(from https://babanaharbiotech.com/m/create-account)
20:50:54	35921/35921	---M-Z	200	added ('OK')	application/javascript	etag:%22db45786abafb3711ef654509ebbe5711%22	http://img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/3f814577476c75fd/script.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/3f814577476c75fd/script.js	(from https://babanaharbiotech.com/products)
